Property_ID,HP_Installed,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,SPFH4_selected_window,HP_Energy_Output_selected_window,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Selected_window_start,Selected_window_end,Delivery_Contractor,Name_Survey,Name_Install,MCS_Flow_Temp,MCS_SCOP,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,median_on_duration,median_off_duration,median_hw_duration,median_flow_temp,median_temp_change,median_heat_temp_diff,mean_power,mean_modulation_pct,median_cycles_per_day,median_internal_temp_winter,tenth_pct_internal_temp_winter,percentage_time_on,annual_hot_water_demand,annual_heating_demand,power_weighted_flow_temperature,max_flow_temp,flow_temp_99th_pct
EOH0003,ASHP,Daikin,EDLQ07CAV7,7.0,R410A,2.502,8811.39,30.74,34.23,2021-05-23T00:00:00.000Z,2022-05-23T00:00:00.000Z,E.ON,E.ON,Aaron Services,45.0,3.57,5.018,50.69,10079.4,4212.0,4.0,4.0,50.0,28.68,2.030000000000001,0.7699999999999996,884.0,26.78787878787879,71.0,18.85,17.87,0.4991512345679012,3741.6970000000233,5054.1909999999825,37.587348547530844,55.22,48.66
EOH0005,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,3.405,10964.88,35.6,38.82,2022-07-27T00:00:00.000Z,2023-07-27T00:00:00.000Z,Warmworks,Warmworks,BRB Electrical Ltd,55.0,3.39,5.8,66.1,14631.0,3566.0,24.0,14.0,84.0,33.8525,3.9299999999999997,2.1999999999999957,904.0,27.901234567901234,19.5,20.28,18.69,0.5518827160493828,3150.093999999997,7808.518000000004,38.40539824152071,76.77,44.1
EOH0021,ASHP,Mitsubishi,PUZ-WM85VAA-BS,8.5,R32,2.81,9248.67,33.97,36.94,2022-05-03T00:00:00.000Z,2023-05-03T00:00:00.000Z,Warmworks,Warmworks,mcinnesplumbing,50.0,3.81,7.0,65.8,15419.0,4495.0,22.0,12.0,68.0,33.18,4.210000000000001,3.1200000000000045,1375.0,55.894308943089435,12.0,17.05,12.06,0.7083333333333334,1340.007999999996,7215.211000000011,36.30909120582201,61.19,40.15
EOH0026,ASHP,Daikin,EDLQ07CAV8,7.0,R410A,2.724,14116.03,37.76,38.26,2022-07-23T00:00:00.000Z,2023-07-23T00:00:00.000Z,E.ON,Phoenix,Aaron Services,53.0,3.22,5.49,63.09,10989.3,4122.0,14.0,4.0,28.0,38.77,5.475000000000001,3.8800000000000026,1600.0,54.421768707483,33.0,18.88,17.35,0.6636651234567901,987.529000000077,13119.326999999927,39.19546543271003,55.96,49.94
EOH0031,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,2.901,17540.01,40.46,42.58,2021-05-21T00:00:00.000Z,2022-05-21T00:00:00.000Z,Warmworks,Warmworks,Everwarm,50.0,3.65,7.0,84.9,17791.0,3821.0,30.0,42.0,58.0,40.54,13.569999999999999,12.610000000000003,2858.0,79.38888888888889,16.0,23.57,21.16,0.4592032527753666,2386.278000000002,15143.835999999998,40.45501300982959,74.73,45.94
EOH0033,HT_ASHP,Vaillant,VWL 125/6 A 230V S2,12.0,R290,2.52,10954.2,42.27,45.28,2021-08-31T00:00:00.000Z,2022-08-31T00:00:00.000Z,Warmworks,Warmworks,mcinnesplumbing,45.0,4.21,12.7,71.0,26010.0,4495.0,6.0,12.0,36.0,42.02,6.889999999999997,3.3399999999999963,2202.0,45.030674846625764,25.0,15.87,11.62,0.14337962962962963,3446.242000000028,7494.376999999971,45.623299949236724,77.08,54.41
EOH0038,HT_ASHP,Vaillant,VWL 55/6 A 230V S2,5.0,R290,2.942,3771.82,38.41,42.6,2022-08-20T00:00:00.000Z,2023-08-20T00:00:00.000Z,E.ON,Energist,Energist,45.0,3.77,5.47,60.08,13887.0,4495.0,24.0,60.0,58.0,54.605000000000004,9.829999999999998,8.46,1094.0,43.41269841269841,11.0,12.57,10.7,0.28805555555555556,1144.469000000011,2528.2929999999874,42.89979921327731,69.96,50.09
EOH0047,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,3.011,21341.22,34.92,34.91,2022-07-13T00:00:00.000Z,2023-07-13T00:00:00.000Z,E.ON,Energist,Energist,45.0,3.91,5.995,40.23,15749.0,3496.0,48.0,4.0,96.0,42.79,12.649999999999999,6.950000000000003,2381.0,69.01449275362319,11.0,18.98,17.31,0.9369907407407407,16.514999999952124,21309.914000000048,36.682860145990134,72.41,47.12
EOH0048,ASHP,Mitsubishi,PUZ-WM85VAA,8.5,R32,2.904,12820.7,41.93,44.5,2022-08-09T00:00:00.000Z,2023-08-09T00:00:00.000Z,Warmworks,Warmworks,TK Murray,50.0,3.81,8.5,80.0,10614.0,4075.0,50.0,6.0,50.0,41.6075,13.739999999999998,11.415,1830.0,53.98230088495575,8.0,18.19,16.86,0.4857638888888889,3066.734999999961,9748.439000000035,44.03021856733202,62.98,53.85
EOH0063,ASHP,Daikin,EDLQ07CAV3,7.0,R410A,2.723,8660.02,33.03,35.75,2022-05-31T00:00:00.000Z,2023-05-31T00:00:00.000Z,E.ON,Phoenix,Aaron Services,46.0,3.52,4.654,80.24,11272.0,2019.0,8.0,4.0,18.0,32.885000000000005,3.4899999999999967,2.3000000000000043,1184.0,41.54385964912281,56.0,18.78,16.92,0.470162037037037,866.7640000000429,7776.674999999957,36.25548868353032,59.85,47.24
EOH0065,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,3.314,7559.76,36.29,39.62,2021-05-05T00:00:00.000Z,2022-05-05T00:00:00.000Z,Warmworks,Warmworks,Everwarm,50.0,3.65,5.0,63.8,13869.0,3821.0,32.0,46.0,46.0,35.73,8.235000000000001,6.335000000000001,1489.0,47.72435897435898,10.0,19.05,18.02,0.3360570987654321,1549.7499999999889,6007.909000000011,38.093575779179446,75.53,41.19
EOH0066,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,3.9,6915.52,28.86,29.9,2022-09-04T00:00:00.000Z,2023-09-04T00:00:00.000Z,Warmworks,Warmworks,mcinnesplumbing,45.0,3.91,7.4,66.5,18668.0,3596.0,42.0,12.0,58.0,29.155,4.699999999999999,1.5399999999999991,1078.0,35.93333333333334,8.0,17.28,14.07,0.4525848765432099,387.7949999999891,5867.3040000000055,30.598637301444388,58.39,43.72
EOH0067,ASHP,Mitsubishi,PUZ-WM85VAA,8.5,R32,2.865,7541.9,40.11,42.03,2022-09-06T00:00:00.000Z,2023-09-06T00:00:00.000Z,Warmworks,Warmworks,BRB Electrical Ltd,45.0,4.14,3.1,46.1,6829.0,4075.0,36.0,32.0,48.0,38.2425,12.1,9.620000000000005,1304.0,47.2463768115942,11.0,19.37,18.37,0.39886364375947775,1713.9050000000443,5823.087999999955,40.85609198897692,60.02,51.03639999999985
EOH0073,ASHP,Mitsubishi,PUZ-WM85VAA,8.5,R32,3.147,9171.22,41.12,43.73,2021-05-23T00:00:00.000Z,2022-05-23T00:00:00.000Z,OVO,Retrofitworks,OHM Energy,45.0,3.84,5.6,49.55,12762.0,2889.0,26.0,50.0,38.0,38.86,16.18,14.45,2039.0,54.81182795698925,10.0,18.28,17.3,0.30104938271604936,2098.275999999999,7068.698000000004,41.65745612197555,60.77,52.68
EOH0082,ASHP,Mitsubishi,PUZ-WM85VAA,8.5,R32,3.221,14153.7,42.34,43.61,2022-03-15T00:00:00.000Z,2023-03-15T00:00:00.000Z,Warmworks,Warmworks,BRB Electrical Ltd,45.0,4.14,6.2,53.6,18895.0,3566.0,68.0,24.0,50.0,41.894999999999996,16.18,13.149999999999999,1763.0,62.51773049645391,8.0,19.35,18.04,0.5650771604938272,2278.371000000007,11862.991999999997,43.456286792957265,61.43,52.62
EOH0091,HT_ASHP,Vaillant,VWL 125/6 A 230V S2,12.0,R290,3.002,8270.57,36.77,41.66,2022-07-21T00:00:00.000Z,2023-07-21T00:00:00.000Z,Warmworks,Warmworks,Everwarm,50.0,3.92,8.4,70.5,21091.0,3821.0,24.0,58.0,24.0,36.2225,7.700000000000003,5.740000000000002,1724.0,38.05739514348786,15.0,19.33,18.58,0.3104783950617284,2129.780000000015,6137.64799999999,40.85445137845226,74.61,50.07
EOH0094,ASHP,Mitsubishi,PUHZ-HW140VHA2R5,14.0,R410A,3.527,18336.62,34.82,37.71,2021-10-20T00:00:00.000Z,2022-10-20T00:00:00.000Z,Warmworks,Warmworks,Everwarm,45.0,3.77,12.7,76.6,31281.0,4776.0,42.0,4.0,40.0,32.864999999999995,4.710000000000001,1.554999999999998,1955.0,56.666666666666664,8.0,18.12,16.05,0.47,4423.223,13905.458999999997,39.53914831290552,64.41,60.2
EOH0102,ASHP,Mitsubishi,PUZ-WM85VAA,8.5,R32,2.751,18274.46,42.22,42.85,2021-03-03T00:00:00.000Z,2022-03-03T00:00:00.000Z,Warmworks,Warmworks,TK Murray,50.0,3.81,8.5,70.0,9135.0,2697.0,22.0,2.0,56.0,43.565,6.57,4.835000000000001,1632.0,56.08247422680412,23.5,21.18,16.25,0.5498161558417554,1153.9589999999725,16425.518000000055,40.43803638171295,63.31,52.8
EOH0105,ASHP,Daikin,EDLQ011CV3,11.0,R410A,2.916,10508.54,42.5,43.84,2021-08-14T00:00:00.000Z,2022-08-14T00:00:00.000Z,OVO,Retrofitworks,Northern Gas,45.0,3.42,7.61,69.63,24047.21,4745.0,12.0,6.0,31.0,31.9925,3.4200000000000017,1.83,1650.0,42.30769230769231,8.0,19.75,18.14,0.15813487051114225,3756.608999999963,6731.530000000035,45.90696116695764,58.06,52.54
