Property_ID,cleaning process: pre-swapped,Temperature swap: Type,Full swap,Removed from analysis,Affecting window,cleaning process: SWAP,starting date,ending date
EOH0067,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,26/01/2021 14:00,03/06/2021 08:30
EOH0082,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,04/03/2021 12:00,03/06/2021 11:00
EOH0121,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH0279,FALSE,step,FALSE,FALSE,TRUE,ALL_HPHFT,26/10/2020 00:00,03/06/2021 12:00
EOH0346,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,21/04/2021 10:30,25/05/2021 11:30
EOH0457,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH0459,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH0516,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,16/02/2021 15:00,03/06/2021 09:30
EOH0526,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,01/10/2021 12:00,05/10/2021 09:00
EOH0546,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,01/11/2020 00:00,25/05/2021 09:30
EOH0590,FALSE,inverted,TRUE,TRUE,FALSE,DROP,,
EOH0603,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH0690,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,19/02/2021 17:00,26/02/2021 23:30
EOH1400,FALSE,step,FALSE,FALSE,TRUE,ALL_HPHFT,09/02/2021 15:00,25/02/2021 23:30
EOH1406,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,02/03/2021 13:00,12/07/2021 12:00
EOH1588,TRUE,step,FALSE,TRUE,FALSE,ALL_HPHFT,18/03/2021 14:30,13/04/2021 09:00
EOH1629,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,29/07/2021 12:00,22/10/2021 11:30
EOH1669,TRUE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH1826,FALSE,step,FALSE,FALSE,TRUE,ALL_HPHFT,02/03/2021 15:30,22/03/2021 15:00
EOH1852,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,14/05/2021 07:00,03/06/2021 08:30
EOH2061,FALSE,step,FALSE,TRUE,FALSE,ALL_HPHFT,12/05/2022 00:00,18/06/2022 23:30
EOH2101,FALSE,step,FALSE,FALSE,TRUE,ALL_HPHFT,01/11/2020 00:00,02/06/2021 09:30
EOH2406,FALSE,step,FALSE,TRUE,FALSE,ALL_HPHFT,06/03/2021 00:00,01/04/2021 13:00
EOH2430,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH2722,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
EOH2799,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,17/11/2020 11:30,01/06/2021 10:00
EOH3107,FALSE,step,FALSE,FALSE,FALSE,ALL_HPHFT,14/01/2021 08:00,02/06/2021 13:00
EOH3138,FALSE,inverted,FALSE,FALSE,FALSE,HW_HPH,15/06/2021 00:00,17/11/2021 00:00
EOH3186,FALSE,inverted,TRUE,FALSE,TRUE,HW_HPH,,
